timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2025/08/22 17:15:22.892, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:15:32.897, 0 %, 0 %, 1144 MiB, 81920 MiB, 66.07 W, 38
2025/08/22 17:15:42.901, 12 %, 0 %, 1144 MiB, 81920 MiB, 66.40 W, 38
2025/08/22 17:15:52.905, 3 %, 0 %, 1144 MiB, 81920 MiB, 66.68 W, 39
2025/08/22 17:16:02.910, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:16:12.914, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:16:22.919, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:16:32.922, 5 %, 0 %, 1144 MiB, 81920 MiB, 67.96 W, 39
2025/08/22 17:16:42.926, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.52 W, 39
2025/08/22 17:16:52.932, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 39
2025/08/22 17:17:02.936, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.85 W, 39
2025/08/22 17:17:12.941, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.52 W, 39
2025/08/22 17:17:22.944, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 39
2025/08/22 17:17:32.948, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 39
2025/08/22 17:17:42.955, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 39
2025/08/22 17:17:52.958, 0 %, 0 %, 1144 MiB, 81920 MiB, 65.46 W, 39
2025/08/22 17:18:02.963, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 39
2025/08/22 17:18:12.968, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.52 W, 38
2025/08/22 17:18:22.971, 6 %, 0 %, 1144 MiB, 81920 MiB, 64.85 W, 39
2025/08/22 17:18:32.975, 1 %, 0 %, 1144 MiB, 81920 MiB, 64.52 W, 39
2025/08/22 17:18:42.979, 11 %, 0 %, 1144 MiB, 81920 MiB, 64.52 W, 39
2025/08/22 17:18:52.982, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:19:02.987, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
